Date,Price,Open,High,Low,Vol.,Change %
1-Jan-18,"1,033.55","1,037.70","1,044.50","1,030.00",2.72M,-0.82
29-Dec-17,"1,042.05","1,030.10","1,048.80","1,030.00",3.30M,0.85
28-Dec-17,"1,033.25","1,030.00","1,040.00","1,023.80",4.22M,-0.1
27-Dec-17,"1,034.25","1,028.00","1,039.10","1,027.40",3.49M,-0.13
26-Dec-17,"1,035.60","1,030.00","1,041.50","1,023.00",5.40M,-0.36
22-Dec-17,"1,039.35","1,016.00","1,044.80","1,016.00",6.45M,1.69
21-Dec-17,"1,022.05","1,014.80","1,028.95",998.4,5.53M,0.61
20-Dec-17,"1,015.85","1,005.10","1,018.60","1,001.00",2.09M,1.19
19-Dec-17,"1,003.95","1,017.45","1,017.95",999.55,3.56M,-1.24
18-Dec-17,"1,016.60","1,011.90","1,030.70","1,005.80",2.02M,-0.62
15-Dec-17,"1,022.90","1,013.00","1,026.40","1,011.85",5.19M,0.97
14-Dec-17,"1,013.10","1,005.25","1,015.00",999.3,3.01M,0.93
13-Dec-17,"1,003.75","1,010.90","1,019.00",997.65,2.68M,-0.67
12-Dec-17,"1,010.50","1,002.00","1,014.00","1,002.00",4.66M,0.52
11-Dec-17,"1,005.30",994.95,"1,006.90",993.95,2.57M,0.34
8-Dec-17,"1,001.85","1,001.00","1,007.00",995,2.99M,0.21
7-Dec-17,999.8,989,"1,002.90",985.6,3.77M,0.96
6-Dec-17,990.3,985,994.1,984,3.75M,0.6
5-Dec-17,984.35,985.35,"1,003.00",979,4.99M,-0.1
4-Dec-17,985.35,980,996.8,968.55,8.91M,2.77
1-Dec-17,958.8,979.4,983.2,957.05,2.04M,-1.77
30-Nov-17,976.1,989.45,989.45,968.35,8.63M,-0.67
29-Nov-17,982.7,987.65,991.95,980.3,1.92M,-0.2
28-Nov-17,984.7,994.4,999.9,981.3,2.31M,-1.41
27-Nov-17,998.75,"1,006.70","1,006.70",993.3,3.01M,-1.07
24-Nov-17,"1,009.55",990.9,"1,019.30",990.2,9.31M,1.85
23-Nov-17,991.25,971.5,994.45,969,5.95M,2.58
22-Nov-17,966.3,966.6,971.05,963.3,3.04M,0.01
21-Nov-17,966.25,961.3,971.5,960.05,2.68M,0.59
