Date,Price,Open,High,Low,Vol.,Change %
1-Jan-18,262.3,263.25,266.3,261.25,10.46M,-0.36
29-Dec-17,263.25,262.5,264,262.25,6.57M,0.53
28-Dec-17,261.85,263.4,264.05,261.05,15.89M,-0.11
27-Dec-17,262.15,264.2,264.3,261.65,6.09M,-0.76
26-Dec-17,264.15,263.25,265,262.65,9.55M,0.4
22-Dec-17,263.1,263.5,264.2,262.15,6.41M,0.02
21-Dec-17,263.05,265.9,265.9,261.6,6.77M,-0.09
20-Dec-17,263.3,264.7,264.7,262.7,7.44M,-0.36
19-Dec-17,264.25,263.4,265.4,263.1,5.88M,0.4
18-Dec-17,263.2,265.5,265.5,259.05,9.29M,-0.53
15-Dec-17,264.6,266,267.05,263.45,12.27M,0.13
14-Dec-17,264.25,260.9,266.15,257.55,8.04M,2.03
13-Dec-17,259,259.6,262.4,257.6,8.65M,-0.97
12-Dec-17,261.55,264.5,265.2,260.5,9.24M,-1.77
11-Dec-17,266.25,264.65,267.5,263.3,17.18M,1.54
8-Dec-17,262.2,253.75,263.2,253.4,13.13M,3.49
7-Dec-17,253.35,250,254.1,250,5.43M,0.7
6-Dec-17,251.6,253.25,253.25,250.85,8.24M,-0.89
5-Dec-17,253.85,255,255.35,252.5,8.99M,-0.49
4-Dec-17,255.1,256,256.3,253.55,6.11M,-0.04
1-Dec-17,255.2,256.95,259.6,254.65,6.59M,-0.33
30-Nov-17,256.05,257.9,258.2,254.65,22.12M,-0.78
29-Nov-17,258.05,258,258.7,257,8.70M,0.41
28-Nov-17,257,259.1,259.2,256,17.51M,-0.87
27-Nov-17,259.25,260,260.5,257.3,4.84M,-0.58
24-Nov-17,260.75,258.5,261.45,258.05,7.35M,1.01
23-Nov-17,258.15,258.35,260.7,256.4,7.52M,0
22-Nov-17,258.15,256,258.65,255.6,8.61M,0.92
21-Nov-17,255.8,259.5,259.5,255.2,16.63M,-1.31
20-Nov-17,259.2,258.6,260.7,257.25,7.92M,0.47
